latitude,longitude,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Private room,room_type_Shared room
40.8357,-73.91023,110,90,11,7,77,0,0,0,0,0,0
40.71735,-74.00605,850,2,14,1,36,0,1,0,0,0,0
40.68211,-73.9236,135,2,129,1,242,1,0,0,0,0,0
40.66889,-73.93045,205,3,84,1,172,1,0,0,0,0,0
40.67935,-73.9633,120,30,14,1,108,1,0,0,0,0,0
40.86947,-73.85993,104,2,33,5,86,0,0,0,0,0,0
40.76365,-73.98484,155,1,0,1,0,0,1,0,0,1,0
40.70954,-73.95922,80,1,0,1,0,1,0,0,0,1,0
40.76247,-73.99254,120,5,0,3,40,0,1,0,0,0,0
40.7432,-73.91238,50,1,28,1,13,0,0,1,0,0,0
40.71684,-73.94578,250,1,0,1,0,1,0,0,0,0,0
40.74135,-73.99507,425,2,59,1,39,0,1,0,0,0,0
40.68998,-73.96072,142,10,8,1,157,1,0,0,0,0,0
40.72513,-73.94829,110,2,21,1,336,1,0,0,0,1,0
40.71389,-74.00484,199,3,35,1,255,0,1,0,0,0,0
40.68847,-73.93897,85,2,1,2,54,1,0,0,0,1,0
40.76384,-73.99309,65,1,4,2,153,0,1,0,0,1,0
40.84698,-73.93629,75,1,81,1,171,0,1,0,0,0,0
40.72915,-74.00106,115,5,65,1,157,0,1,0,0,1,0
40.63702,-73.96327,150,1,0,1,365,1,0,0,0,1,0
40.7383,-74.00602,150,4,0,1,0,0,1,0,0,0,0
40.81919,-73.94554,89,1,105,4,84,0,1,0,0,1,0
40.76942,-73.92343,50,1,99,9,341,0,0,1,0,1,0
40.67,-73.79232,85,4,55,1,69,0,0,1,0,0,0
40.75675,-73.88599,99,1,18,2,141,0,0,1,0,0,0
40.6824,-73.93597,130,30,52,3,171,1,0,0,0,0,0
40.75648,-73.93389,80,3,48,1,209,0,0,1,0,0,0
40.7613,-73.99155,155,1,58,4,304,0,1,0,0,1,0
40.68274,-73.9261,42,3,3,2,0,1,0,0,0,1,0
40.7295,-73.98327,133,30,0,4,151,0,1,0,0,0,0
40.69531,-73.98306,80,5,0,1,0,1,0,0,0,1,0
40.60766,-73.95384,350,1,23,8,334,1,0,0,0,0,0
40.71419,-73.95042,200,7,0,1,345,1,0,0,0,0,0
40.69348,-73.95927,75,3,13,1,298,1,0,0,0,1,0
40.75603,-73.99214,125,30,3,1,226,0,1,0,0,0,0
